"Date","Price","Open","High","Low","Change %"
"05/26/2014","10.221","10.221","10.221","10.221","0.00%"
"05/25/2014","10.221","10.221","10.221","10.221","0.00%"
"05/23/2014","10.221","10.221","10.221","10.221","0.00%"
"05/22/2014","10.221","10.221","10.221","10.221","0.00%"
"05/21/2014","10.221","10.221","10.221","10.221","0.00%"
"05/20/2014","10.221","10.221","10.221","10.221","0.00%"
"05/19/2014","10.221","10.221","10.221","10.221","0.00%"
"05/18/2014","10.221","10.221","10.221","10.221","0.00%"
"05/16/2014","10.221","10.221","10.221","10.221","0.00%"
"05/15/2014","10.221","10.221","10.221","10.221","0.00%"
"05/14/2014","10.221","10.221","10.221","10.221","0.00%"
"05/13/2014","10.221","10.221","10.221","10.221","0.00%"
"05/12/2014","10.221","10.221","10.221","10.221","-4.03%"
"05/11/2014","10.650","10.221","10.650","10.221","4.20%"
"05/09/2014","10.221","10.221","10.221","10.221","0.00%"
"05/08/2014","10.221","10.221","10.221","10.221","0.00%"
"05/07/2014","10.221","10.221","10.221","10.221","-4.92%"
"05/06/2014","10.750","10.750","10.750","10.750","5.18%"
"05/05/2014","10.221","10.221","10.221","10.221","0.00%"
"05/04/2014","10.221","10.221","10.221","10.221","0.00%"
"05/02/2014","10.221","10.221","10.221","10.221","0.00%"
"05/01/2014","10.221","10.221","10.221","10.221","0.00%"
"04/30/2014","10.221","10.221","10.221","10.221","0.00%"
"04/29/2014","10.221","10.221","10.221","10.221","0.00%"
"04/28/2014","10.221","10.221","10.221","10.221","0.00%"
"04/27/2014","10.221","10.221","10.221","10.221","0.00%"
"04/25/2014","10.221","10.221","10.221","10.221","0.00%"
"04/24/2014","10.221","10.221","10.221","10.221","0.00%"
"04/23/2014","10.221","10.221","10.221","10.221","0.00%"
"04/22/2014","10.221","10.221","10.221","10.221","0.00%"
"04/21/2014","10.221","10.094","10.221","10.094","1.26%"
"04/18/2014","10.094","10.094","10.094","10.094","0.00%"
"04/17/2014","10.094","10.094","10.094","10.094","0.00%"
"04/16/2014","10.094","10.094","10.094","10.094","0.00%"
"04/15/2014","10.094","10.094","10.094","10.094","-1.72%"
"04/14/2014","10.271","10.271","10.271","10.271","-2.18%"
"04/13/2014","10.500","10.135","10.500","10.135","3.60%"
"04/11/2014","10.135","10.135","10.135","10.135","-3.71%"
"04/10/2014","10.525","10.525","10.525","10.525","3.85%"
"04/09/2014","10.135","10.135","10.135","10.135","0.00%"
"04/08/2014","10.135","10.135","10.135","10.135","-3.71%"
"04/07/2014","10.525","10.525","10.525","10.525","3.85%"
"04/06/2014","10.135","10.135","10.135","10.135","0.00%"
"04/04/2014","10.135","10.135","10.135","10.135","-1.40%"
"04/03/2014","10.279","10.279","10.279","10.279","0.00%"
"04/02/2014","10.279","10.279","10.279","10.279","0.00%"
"04/01/2014","10.279","10.279","10.279","10.279","-2.20%"
"03/31/2014","10.510","10.510","10.510","10.510","2.25%"
"03/30/2014","10.279","10.279","10.279","10.279","0.00%"
"03/28/2014","10.279","10.279","10.279","10.279","0.00%"
"03/27/2014","10.279","10.279","10.279","10.279","0.00%"
"03/26/2014","10.279","10.279","10.279","10.279","-0.45%"
"03/25/2014","10.325","10.325","10.325","10.325","0.64%"
"03/24/2014","10.259","10.259","10.259","10.259","-0.64%"
"03/23/2014","10.325","10.259","10.325","10.259","0.64%"
"03/21/2014","10.259","10.259","10.259","10.259","0.00%"
"03/20/2014","10.259","10.259","10.259","10.259","0.00%"
"03/19/2014","10.259","10.259","10.259","10.259","0.00%"
"03/18/2014","10.259","10.259","10.259","10.259","0.00%"
"03/17/2014","10.259","10.259","10.259","10.259","0.77%"
"03/14/2014","10.181","10.181","10.181","10.181","0.00%"
"03/13/2014","10.181","10.181","10.181","10.181","-2.67%"
"03/12/2014","10.460","10.460","10.460","10.460","0.00%"
"03/11/2014","10.460","10.460","10.460","10.460","0.00%"
"03/10/2014","10.460","10.460","10.460","10.460","0.00%"
"03/09/2014","10.460","10.460","10.460","10.460","0.00%"
"03/08/2014","10.460","10.460","10.460","10.460","0.00%"
"03/07/2014","10.460","10.460","10.460","10.460","0.00%"
"03/06/2014","10.460","10.460","10.460","10.460","0.00%"
"03/05/2014","10.460","10.460","10.460","10.460","0.00%"
"03/04/2014","10.460","10.460","10.460","10.460","2.74%"
"03/03/2014","10.181","10.181","10.181","10.181","-2.67%"
"03/02/2014","10.460","10.460","10.460","10.460","0.00%"
