"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2016","1,161.89","1,159.43","1,165.81","1,158.26","","0.21%"
"10/20/2016","1,159.43","1,130.68","1,160.76","1,130.68","","2.54%"
"10/19/2016","1,130.68","1,145.64","1,148.66","1,126.49","","-1.31%"
"10/18/2016","1,145.64","1,161.84","1,162.95","1,145.64","","-1.39%"
"10/17/2016","1,161.84","1,205.80","1,205.80","1,161.84","","-3.65%"
"10/16/2016","1,205.80","1,214.21","1,227.29","1,205.80","","-0.69%"
"10/13/2016","1,214.21","1,169.83","1,214.36","1,169.83","","3.79%"
"10/12/2016","1,169.83","1,173.46","1,182.17","1,169.83","","-0.31%"
"10/11/2016","1,173.46","1,194.96","1,194.96","1,169.28","","-1.80%"
"10/10/2016","1,194.96","1,228.35","1,229.06","1,194.96","","-2.72%"
"10/09/2016","1,228.35","1,228.98","1,232.47","1,221.23","","-0.05%"
"10/05/2016","1,228.98","1,213.60","1,229.49","1,210.93","","1.27%"
"10/04/2016","1,213.60","1,218.28","1,231.96","1,213.58","","-0.38%"
"10/03/2016","1,218.28","1,168.53","1,218.28","1,168.53","","4.26%"
"09/29/2016","1,168.53","1,171.67","1,172.43","1,167.35","","-0.27%"
"09/28/2016","1,171.67","1,173.33","1,176.64","1,171.67","","-0.14%"
"09/27/2016","1,173.33","1,178.76","1,182.96","1,173.22","","-0.46%"
"09/26/2016","1,178.76","1,170.33","1,180.24","1,170.33","","0.72%"
"09/25/2016","1,170.33","1,169.44","1,177.55","1,169.44","","0.08%"
"09/22/2016","1,169.44","1,173.29","1,173.29","1,167.74","","-0.33%"
"09/21/2016","1,173.29","1,188.18","1,193.57","1,173.29","","-1.25%"
"09/20/2016","1,188.18","1,174.07","1,192.32","1,174.07","","1.20%"
"09/19/2016","1,174.07","1,166.76","1,174.07","1,166.35","","0.63%"
"09/18/2016","1,166.76","1,188.53","1,188.55","1,166.76","","-1.83%"
"09/15/2016","1,188.53","1,212.66","1,212.66","1,188.53","","-1.99%"
"09/14/2016","1,212.66","1,221.28","1,221.28","1,212.64","","-0.71%"
"09/08/2016","1,221.28","1,222.24","1,226.03","1,221.28","","-0.08%"
"09/07/2016","1,222.24","1,236.48","1,236.48","1,221.29","","-1.15%"
"09/06/2016","1,236.48","1,255.17","1,255.17","1,236.48","","-1.49%"
"09/05/2016","1,255.17","1,241.40","1,256.78","1,241.40","","1.11%"
"09/04/2016","1,241.40","1,235.60","1,241.61","1,231.00","","0.47%"
"09/01/2016","1,235.60","1,236.81","1,237.66","1,233.96","","-0.10%"
"08/31/2016","1,236.81","1,237.73","1,245.06","1,236.81","","-0.07%"
"08/30/2016","1,237.73","1,228.80","1,238.23","1,225.68","","0.73%"
"08/29/2016","1,228.80","1,229.07","1,241.57","1,228.79","","-0.02%"
"08/28/2016","1,229.07","1,253.14","1,253.14","1,229.07","","-1.92%"
"08/25/2016","1,253.14","1,273.31","1,273.31","1,253.14","","-1.58%"
"08/24/2016","1,273.31","1,271.16","1,278.58","1,270.27","","0.17%"
"08/23/2016","1,271.16","1,274.48","1,275.03","1,268.84","","-0.26%"
"08/22/2016","1,274.48","1,298.43","1,300.52","1,274.48","","-1.84%"
"08/21/2016","1,298.43","1,291.63","1,301.56","1,291.63","","0.53%"
"08/18/2016","1,291.63","1,286.70","1,300.76","1,286.70","","0.38%"
"08/17/2016","1,286.70","1,275.24","1,287.06","1,265.23","","0.90%"
"08/16/2016","1,275.24","1,295.19","1,295.19","1,275.19","","-1.54%"
"08/15/2016","1,295.19","1,294.55","1,310.27","1,294.55","","0.05%"
"08/14/2016","1,294.55","1,287.13","1,294.55","1,280.49","","0.58%"
"08/11/2016","1,287.13","1,279.74","1,291.43","1,277.64","","0.58%"
